Date,Open,High,Low,Close,Volume
10-Jan-20,49.26,49.29,48,48.17,"44,215,594"
13-Jan-20,48.66,48.86,48.24,48.75,"34,474,728"
14-Jan-20,48.64,49.04,47.91,48.21,"38,694,180"
15-Jan-20,48.23,49.08,48.12,48.55,"40,199,943"
16-Jan-20,49.17,50.31,48.99,49.77,"58,898,926"
17-Jan-20,50.2,51.05,49.9,50.93,"57,722,501"
21-Jan-20,50.96,51.81,50.7,51.05,"49,094,965"
22-Jan-20,51.63,51.88,51.2,51.43,"40,772,219"
23-Jan-20,51.34,51.75,50.74,51.71,"40,135,442"
24-Jan-20,52.28,52.81,49.47,50.35,"80,004,909"
27-Jan-20,48.45,49.79,47.9,49.26,"48,878,578"
28-Jan-20,50.03,50.85,49.48,50.53,"62,343,844"
29-Jan-20,47.84,48.07,46.1,47.51,"112,559,197"
30-Jan-20,46.49,48.81,46.13,48.78,"70,460,163"
31-Jan-20,48.4,48.58,46.79,47,"60,322,431"
03-Feb-20,46.4,48.1,46.23,48.02,"47,076,956"
04-Feb-20,49.21,49.75,48.61,49.45,"46,302,078"
05-Feb-20,50.29,50.42,49.31,49.84,"42,737,104"
06-Feb-20,48.8,49.39,47.63,49.32,"48,670,617"
07-Feb-20,48.91,50.67,48.64,49.73,"53,107,582"
10-Feb-20,49.47,52.3,49.35,52.26,"60,971,719"
11-Feb-20,53.22,54.48,52.91,53.8,"74,719,054"
12-Feb-20,54.53,54.85,53.53,53.89,"45,994,933"
13-Feb-20,53.43,55.03,53.34,54.53,"51,640,035"
14-Feb-20,55.19,55.4,54.56,55.31,"52,365,370"
18-Feb-20,54.94,58.13,54.84,56.89,"70,346,387"
19-Feb-20,57.99,59.27,57.51,58.9,"58,597,294"
20-Feb-20,58.44,59.02,56.15,57.27,"74,203,373"
21-Feb-20,56.71,56.8,52.89,53.28,"88,553,374"
24-Feb-20,48.18,50.28,47.49,49.12,"86,624,116"
25-Feb-20,51.14,51.24,47.12,47.57,"88,699,382"
26-Feb-20,47.7,49.29,47.07,47.49,"86,897,680"
27-Feb-20,45.38,46.24,42.21,44.01,"106,416,222"
28-Feb-20,41.36,46.15,41.04,45.48,"100,667,707"
02-Mar-20,47.42,47.68,44.66,47.46,"102,324,726"
03-Mar-20,49.03,50.2,45.67,46.75,"141,972,288"
04-Mar-20,48.25,50.14,47.21,50.11,"93,311,779"
05-Mar-20,48.68,49.72,47.51,48.11,"98,302,748"
06-Mar-20,49.44,49.54,46.74,48.59,"124,590,861"
09-Mar-20,43.03,46.34,42.51,43.27,"80,859,774"
10-Mar-20,45.41,45.44,43.1,45.38,"76,228,247"
11-Mar-20,44.19,45.97,43.8,45.7,"102,319,010"
12-Mar-20,42,42.5,39,39.01,"107,461,521"
13-Mar-20,42.2,43.91,39.6,43.9,"86,689,681"
16-Mar-20,39.08,43.37,38.51,38.71,"84,545,868"
17-Mar-20,40.19,42.88,38.3,41.88,"92,741,881"
18-Mar-20,39.54,41.95,36.75,39.12,"106,949,287"
19-Mar-20,39.56,41.7,37.69,39.82,"88,939,024"
20-Mar-20,41.51,42.48,39.58,39.61,"106,859,502"
23-Mar-20,40.62,42.32,38.95,41.64,"101,704,663"
24-Mar-20,44.04,46.81,43.99,46.22,"106,794,151"
25-Mar-20,46.79,47.88,44.43,44.63,"93,760,389"
26-Mar-20,45.78,47.5,45.4,47.5,"73,915,608"
27-Mar-20,46.32,47.98,45.9,46.58,"74,599,218"
30-Mar-20,47.24,48.46,46.66,47.86,"68,486,602"
31-Mar-20,47.93,48.53,45.16,45.48,"83,483,749"
01-Apr-20,44.18,46.85,43.16,43.66,"92,083,081"
02-Apr-20,43.4,45.28,43.1,44.49,"79,024,133"
03-Apr-20,44.3,44.84,41.7,42.59,"79,334,966"
06-Apr-20,44.3,47.58,44.06,47.52,"82,293,964"
07-Apr-20,48.96,49.65,46.68,47.56,"102,098,689"
08-Apr-20,48.07,49,47.61,48.79,"64,930,779"
09-Apr-20,49.65,50.25,47.72,48.38,"80,357,393"
13-Apr-20,48.47,51.07,48.23,50.94,"64,290,112"
14-Apr-20,52.24,55.14,52.11,54.93,"85,306,750"
15-Apr-20,53.73,55.57,53.41,54.99,"83,814,033"
16-Apr-20,55.96,58.08,55.63,56.95,"103,106,456"
17-Apr-20,57.35,57.76,55.55,56.6,"76,908,783"
